 mbb ngoodjets MT2W Mlb_closestb mct mt_met_lep pfmet topness topnessMod mindphi_met_j1_j2 scale1fb ptbb ngoodjets weight
0 122.100242615 3 353.407989502 291.604980469 386.646697998 45.1969642639 188.721191406 12.7703046799 -5.40419816971 2.52676558495 0.00011194437684 -999.0 3 1.0
1 112.329589844 2 433.458007812 -9999.0 200.415908813 1005.63800049 461.777984619 13.1067304611 7.32100725174 0.67699277401 0.00011194437684 -999.0 2 1.0
2 159.523925781 4 -9999.0 -9999.0 171.896499634 -9999.0 330.245178223 -9999.0 -9999.0 1.83471441269 0.00011194437684 -999.0 4 1.0
3 119.970626831 2 376.544128418 186.274581909 340.709106445 109.721221924 413.146911621 12.9027633667 -6.87239170074 2.85003662109 0.00011194437684 -999.0 2 1.0
4 123.643890381 2 364.022186279 107.255752563 343.711883545 66.8125915527 400.539520264 12.6719512939 -6.5619096756 3.08076906204 0.00011194437684 430.373199463 2 1.0
5 129.270675659 6 322.906799316 566.532165527 255.556655884 4.55778169632 372.261291504 12.0553646088 -3.94604468346 2.1136713028 0.00011194437684 -999.0 6 1.0
6 122.132865906 2 353.823547363 390.112121582 263.233795166 216.382339478 189.711868286 12.7576179504 -4.3638010025 2.11162924767 0.00011194437684 298.178192139 2 1.0
7 103.678375244 3 161.648544312 95.164604187 105.739906311 162.202255249 213.418731689 -2.28857445717 -7.31550598145 2.78270554543 0.00011194437684 -999.0 3 1.0
8 91.3390731812 4 287.364776611 401.387115479 189.428573608 151.676681519 226.673278809 11.6052474976 -6.36006879807 1.91943824291 0.00011194437684 -999.0 4 1.0
9 -9999.0 1 -9999.0 -9999.0 -9999.0 -9999.0 74.1479568481 -9999.0 -9999.0 -9999.0 0.00011194437684 -999.0 1 1.0
10 102.2525177 4 363.466125488 159.465499878 274.999389648 80.4355545044 343.222442627 12.8556270599 -6.10509300232 2.95449233055 0.00011194437684 -999.0 4 1.0
11 99.5470199585 2 499.0 117.370536804 114.135475159 811.713256836 461.308776855 11.8186798096 11.8103666306 2.15934157372 0.00011194437684 114.779151917 2 1.0
12 136.116455078 3 397.265350342 -9999.0 384.116760254 466.78817749 308.37878418 13.19439888 9.26952075958 1.67386329174 0.00011194437684 -999.0 3 1.0
13 125.504608154 5 127.782752991 116.348808289 504.609313965 10.7190170288 375.104125977 -0.682032883167 -6.71894454956 3.04168438911 0.00011194437684 -999.0 5 1.0
14 348.391815186 3 142.312393188 -9999.0 205.776321411 226.055740356 222.761184692 0.33326625824 -5.10612916946 2.90367984772 0.00011194437684 -999.0 3 1.0
15 118.284950256 2 466.016174316 170.818496704 218.015228271 457.781066895 286.293670654 12.9949445724 9.7560300827 2.07001805305 0.00011194437684 293.179077148 2 1.0
16 139.315689087 2 499.0 -9999.0 347.874603271 721.754272461 396.6925354 14.6844816208 13.2957000732 1.83196532726 0.00011194437684 -999.0 2 1.0
17 106.567573547 2 387.530548096 379.09475708 119.692108154 781.259094238 460.187194824 12.7613010406 11.0302257538 2.43024754524 0.00011194437684 -999.0 2 1.0
18 215.525161743 2 279.923828125 249.810745239 253.795822144 42.387966156 622.735595703 11.3280878067 -6.02760887146 2.33995676041 0.00011194437684 -999.0 2 1.0
19 120.663200378 3 -9999.0 -9999.0 213.709457397 -9999.0 222.325637817 -9999.0 -9999.0 0.297949075699 0.00011194437684 -999.0 3 1.0
20 98.9248046875 4 -9999.0 -9999.0 207.198287964 -9999.0 337.137023926 -9999.0 -9999.0 2.70867657661 0.00011194437684 -999.0 4 1.0
21 118.79473114 2 371.547485352 169.197921753 345.608337402 42.1220855713 676.20513916 12.637430191 -5.38645553589 2.83194804192 0.00011194437684 657.040710449 2 1.0
22 133.285049438 3 -9999.0 -9999.0 128.220352173 -9999.0 425.653961182 -9999.0 -9999.0 2.9132039547 0.00011194437684 -999.0 3 1.0
23 121.899291992 5 295.470977783 481.918670654 174.575042725 78.2550888062 173.604476929 11.6182794571 -6.42410087585 2.60388803482 0.00011194437684 -999.0 5 1.0
24 90.7421035767 3 231.663269043 246.848800659 168.347061157 148.762771606 139.221374512 10.0389766693 -5.25271844864 1.87535512447 0.00011194437684 -999.0 3 1.0
25 124.827484131 2 346.765960693 286.184082031 252.254364014 814.953735352 384.815704346 12.4792108536 11.2687149048 1.20333909988 0.00011194437684 303.326538086 2 1.0
26 383.351989746 3 106.713867188 60.3830223083 19.21210289 77.6758956909 81.6928100586 -1.45678985119 -7.42615413666 0.424436748028 0.00011194437684 -999.0 3 1.0
