 ,"(225, 75)","(250, 1)","(350, 100)","(500, 1)","(500, 125)","(700, 1)",2l top,W+LF/W+HF,WZ,1l top,rare
CR0b1,5.0,1.0,4.0,5.0,2.0,7.0,59.0,258.0,54.0,35.0,246.0
SR2,41.0,77.0,237.0,739.0,732.0,1223.0,27.0,11.0,13.0,21.0,161.0
SR1,42.0,56.0,78.0,100.0,125.0,88.0,41.0,10.0,8.0,34.0,56.0
CRMbb2,2.0,10.0,22.0,63.0,49.0,81.0,145.0,159.0,17.0,92.0,350.0
CRMbb1,5.0,7.0,4.0,9.0,7.0,7.0,154.0,138.0,12.0,105.0,105.0
CR0b2,4.0,1.0,6.0,38.0,29.0,54.0,59.0,332.0,67.0,20.0,674.0
